school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
West High School,F30A15JLA,9,Semester 1 Final,20,13,15,14,16,14,92,D,D,F,D,D,B
West High School,LBSN5061M,9,Semester 1 Final,8,4,4,7,4,5,32,A,B,C,C,C,C
West High School,LX5C00C7L,9,Semester 1 Final,8,7,5,5,6,5,36,C,A,D,A,B,A
West High School,ML9VS57R2,9,Semester 1 Final,16,17,19,19,17,18,106,C,D,F,C,B,D
West High School,T0BGT3J38,9,Semester 1 Final,1,1,1,1,1,2,7,A,A,A,A,A,A
West High School,T7679KHYJ,9,Semester 1 Final,32,6,6,6,6,7,63,C,D,A,F,B,C
West High School,TU8280WRK,9,Semester 1 Final,44,18,17,15,14,13,121,F,C,A,B,D,C
West High School,YOE82J3U1,9,Semester 1 Final,16,6,9,8,7,7,53,D,C,D,C,A,D
West High School,D5U5ZD8Y4,9,Semester 1 Final,21,7,6,7,26,6,73,A,A,C,A,C,D
West High School,K4VSN772A,9,Semester 1 Final,4,10,7,2,2,2,27,A,C,C,C,C,B
West High School,J55P4O6UR,9,Semester 1 Final,5,4,5,2,5,7,28,B,A,A,A,A,A
West High School,MR5N2C5H8,9,Semester 1 Final,71,10,14,12,21,32,160,D,B,B,B,C,C
West High School,9695ZUAWO,9,Semester 1 Final,5,3,4,3,5,7,27,A,A,F,B,D,C
West High School,6P5W2J9SI,9,Semester 1 Final,9,7,8,8,7,6,45,A,A,A,A,A,A
West High School,4RWAJ0N25,9,Semester 1 Final,6,5,5,6,5,5,32,A,C,A,A,A,A
West High School,I74K7MX4U,9,Semester 1 Final,20,10,11,13,15,15,84,F,B,A,B,A,A
West High School,I076LNNW4,9,Semester 1 Final,3,1,1,0,0,2,7,A,A,A,A,A,B
West High School,7M5O8ZMO4,9,Semester 1 Final,2,2,2,1,2,4,13,B,A,D,B,B,A
West High School,G7SV7EC74,9,Semester 1 Final,7,10,9,6,19,20,71,A,A,A,A,A,A
West High School,Y8N8XDZ64,9,Semester 1 Final,8,7,7,7,9,11,49,F,B,A,C,C,B
West High School,63Y2VQ2IS,9,Semester 1 Final,9,11,8,6,7,9,50,B,A,B,B,A,A
West High School,YMS0H186X,9,Semester 1 Final,12,4,4,5,6,10,41,A,A,C,A,A,B
West High School,6X0CA5C2C,9,Semester 1 Final,8,7,7,7,9,8,46,A,A,B,A,A,A
West High School,7LJ3E6F1B,9,Semester 1 Final,2,5,7,7,9,10,40,A,B,B,B,A,B
West High School,4VUXT019Z,9,Semester 1 Final,5,7,10,14,12,13,61,B,B,B,B,D,A
West High School,3AP94S4HO,9,Semester 1 Final,16,7,4,8,8,9,52,B,A,A,A,B,A
West High School,Q771I7KRC,9,Semester 1 Final,14,12,16,17,16,15,90,D,D,B,B,D,D
West High School,4CO7FQ0H3,9,Semester 1 Final,4,9,6,4,9,14,46,B,C,F,F,F,C
