school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
North High School,DB3YRF537,9,Semester 1 Final,37,17,7,15,7,13,96,D,D,D,B,D,D
North High School,3SMGP8G02,9,Semester 1 Final,3,2,4,3,3,3,18,C,A,B,D,B,B
North High School,1ARB9M09Y,9,Semester 1 Final,25,4,8,3,11,23,74,C,A,B,C,C,C
North High School,45W7MT8XD,9,Semester 1 Final,9,6,5,9,11,8,48,B,F,F,D,D,B
North High School,66S4DPGO9,9,Semester 1 Final,7,7,6,9,8,8,45,D,D,C,B,C,C
North High School,6OI41MY9P,9,Semester 1 Final,7,5,3,4,7,6,32,A,B,A,A,A,C
North High School,671N1NDLF,9,Semester 1 Final,5,5,7,2,7,8,34,A,C,D,C,A,A
North High School,I5LGB19A1,9,Semester 1 Final,17,13,14,13,12,8,77,C,C,B,D,B,C
North High School,CR955YD9P,9,Semester 1 Final,63,47,12,50,25,23,220,F,C,C,F,F,C
North High School,35TIYNG62,9,Semester 1 Final,55,49,29,33,42,45,253,D,F,F,D,D,D
North High School,032AU5KRO,9,Semester 1 Final,8,3,2,1,2,23,39,A,B,D,C,C,D
North High School,M3ORE87O4,9,Semester 1 Final,28,42,28,26,26,31,181,F,F,D,F,F,D
North High School,M06HD0Y0Z,9,Semester 1 Final,3,0,1,2,2,2,10,A,A,A,A,B,A
North High School,R6L5J01CV,9,Semester 1 Final,6,4,4,6,4,4,28,F,B,A,B,B,C
North High School,SAKJ5R732,9,Semester 1 Final,9,9,4,15,14,16,67,B,D,D,F,D,C
North High School,W096AYHT9,9,Semester 1 Final,16,22,28,20,18,34,138,D,D,D,F,D,D
North High School,8LPC83LL4,9,Semester 1 Final,13,10,16,16,14,45,114,F,F,F,D,D,C
North High School,3I833WYNT,9,Semester 1 Final,30,12,12,11,14,19,98,C,A,B,C,A,C
North High School,Y0K5U0B4I,9,Semester 1 Final,25,7,10,7,7,6,62,D,D,D,F,D,A
North High School,0EHP43Q5X,9,Semester 1 Final,19,6,6,11,19,15,76,A,A,B,A,A,A
North High School,PY80LY6X4,9,Semester 1 Final,1,0,0,1,2,1,5,F,A,B,D,D,D
North High School,VV65NBL19,9,Semester 1 Final,5,16,9,7,8,31,76,D,C,C,D,C,F
North High School,WB8PC02E3,9,Semester 1 Final,17,7,7,4,7,7,49,D,C,B,B,A,C
North High School,2O9IX1M9G,9,Semester 1 Final,4,6,4,14,18,10,56,A,D,D,B,,A
North High School,T574A3HEQ,9,Semester 1 Final,6,1,5,9,6,9,36,A,D,D,B,C,A
North High School,I74QW6RQ4,9,Semester 1 Final,12,7,3,11,14,4,51,C,B,B,B,C,B
North High School,49JKAQ29M,9,Semester 1 Final,14,6,11,7,14,19,71,B,B,C,D,B,D
North High School,9F9O0ND0V,9,Semester 1 Final,8,6,6,5,3,5,33,A,A,A,A,A,A
North High School,7I46NQI1I,9,Semester 1 Final,6,5,5,5,5,7,33,C,A,A,C,D,D
North High School,B85ZKB2C5,9,Semester 1 Final,41,4,4,8,15,15,87,C,B,D,A,B,C
North High School,RU77CW3C7,9,Semester 1 Final,3,2,2,4,2,1,14,B,F,D,D,D,D
North High School,R4UM2M9P7,9,Semester 1 Final,20,7,6,14,17,19,83,A,B,A,B,B,A
North High School,BYTT4H547,9,Semester 1 Final,25,32,23,24,34,25,163,C,C,F,F,F,F
North High School,9DOX5GU58,9,Semester 1 Final,6,6,21,7,10,8,58,D,C,D,D,F,F
North High School,7YDUQ776O,9,Semester 1 Final,9,6,6,5,6,5,37,C,B,A,B,D,D
North High School,A8GZO2A76,9,Semester 1 Final,13,7,9,6,19,7,61,D,B,D,D,F,D
North High School,FBW4VF271,9,Semester 1 Final,33,20,25,27,27,23,155,A,A,A,A,A,C
North High School,4VJBC09D1,9,Semester 1 Final,11,10,13,9,13,9,65,C,C,B,C,C,B
North High School,F60ATEM74,9,Semester 1 Final,0,1,1,3,2,1,8,C,B,A,A,A,C
North High School,T2B1H9XA1,9,Semester 1 Final,56,6,9,7,10,3,91,F,F,D,D,F,C
North High School,K2TTC8T66,9,Semester 1 Final,19,14,20,8,8,11,80,A,A,D,C,D,C
North High School,S1H4YV3E3,9,Semester 1 Final,8,4,4,9,11,9,45,C,A,A,B,C,C
North High School,MJE860C0K,9,Semester 1 Final,40,11,8,32,41,22,154,F,B,D,F,F,D
North High School,ORX65C0C1,9,Semester 1 Final,8,5,3,4,7,3,30,C,A,C,B,D,D
North High School,0DV2AHD87,9,Semester 1 Final,19,17,18,20,21,17,112,C,B,C,C,D,C
North High School,400G5XDKZ,9,Semester 1 Final,2,1,1,2,3,2,11,A,C,B,A,B,C
North High School,CJ6Z38YZ2,9,Semester 1 Final,5,6,16,9,7,10,53,B,C,B,B,C,D
North High School,MT2G61K1X,9,Semester 1 Final,35,7,12,11,11,12,88,D,A,C,C,A,A
North High School,E1892QBZQ,9,Semester 1 Final,9,2,3,4,8,13,39,A,B,B,A,B,A
North High School,5OW8RMQ46,9,Semester 1 Final,14,4,5,4,5,4,36,C,D,C,C,B,B
North High School,6C48M4DRV,9,Semester 1 Final,9,9,10,9,15,11,63,B,B,B,A,B,B
North High School,36N2DGRY0,9,Semester 1 Final,7,5,4,9,23,24,72,B,B,A,B,C,B
North High School,9E9PU7LH0,9,Semester 1 Final,5,4,7,6,8,8,38,B,C,D,C,C,F
North High School,56DSANY67,9,Semester 1 Final,6,3,3,3,2,3,20,D,C,A,B,A,A
North High School,F5KX4DR98,9,Semester 1 Final,5,11,4,5,7,5,37,B,C,D,F,C,B
North High School,E20ES5MY9,9,Semester 1 Final,5,9,7,16,7,11,55,F,A,D,C,D,D
North High School,YB66C99ZW,9,Semester 1 Final,3,4,3,4,2,2,18,B,C,D,C,C,D
North High School,DN7MIX904,9,Semester 1 Final,32,23,37,23,28,35,178,D,B,D,C,C,B
North High School,COKSF0126,9,Semester 1 Final,6,6,6,10,7,8,43,C,B,B,C,C,B
North High School,I0N1CX42X,9,Semester 1 Final,7,5,3,13,11,12,51,F,A,C,D,F,D
North High School,ZX868MMA0,9,Semester 1 Final,25,16,13,13,24,21,112,A,A,A,A,A,B
North High School,7PCS76PO7,9,Semester 1 Final,18,19,14,23,22,23,119,F,F,F,D,C,D
North High School,10U0WLOW8,9,Semester 1 Final,5,6,5,6,4,1,27,B,A,A,B,A,A
North High School,8D46AN7VQ,9,Semester 1 Final,11,14,2,9,8,13,57,D,A,C,A,D,C
North High School,X6H8S4X3C,9,Semester 1 Final,6,1,0,0,1,4,12,D,D,D,C,B,B
North High School,53BQ02GVU,9,Semester 1 Final,15,23,10,11,8,21,88,C,F,D,C,D,B
North High School,VZM855SX2,9,Semester 1 Final,19,6,8,4,6,4,47,F,D,C,F,B,C
North High School,7O6WK44EH,9,Semester 1 Final,2,4,3,7,6,5,27,A,B,B,C,A,A
North High School,3YQ9M8YC6,9,Semester 1 Final,25,17,19,18,25,22,126,C,A,B,D,B,B
North High School,90H89PXEZ,9,Semester 1 Final,1,4,2,4,6,7,24,C,C,C,D,F,D
North High School,9L6RL2Y9Q,9,Semester 1 Final,21,14,16,13,12,15,91,F,D,D,F,C,D
North High School,393AD1TRR,9,Semester 1 Final,8,7,8,8,9,8,48,F,D,D,D,B,B
North High School,RF548F0KQ,9,Semester 1 Final,20,42,19,21,17,30,149,F,F,F,F,F,F
North High School,W687C8DNY,9,Semester 1 Final,77,10,5,8,5,5,110,F,D,B,D,,A
North High School,EJ68L83SE,9,Semester 1 Final,48,40,29,27,32,20,196,F,F,D,D,F,B
North High School,B4O980GAG,9,Semester 1 Final,11,10,12,19,17,21,90,B,A,A,A,A,A
North High School,81AT0N9NI,9,Semester 1 Final,7,4,11,8,11,15,56,D,A,C,D,C,B
North High School,5AEVS4N70,9,Semester 1 Final,5,4,5,8,8,10,40,B,C,B,B,A,C
North High School,9I4XIFV23,9,Semester 1 Final,23,3,16,6,5,4,57,C,A,B,B,D,A
North High School,N587NRM4E,9,Semester 1 Final,14,12,12,15,22,22,97,B,B,A,A,A,C
North High School,K7V72BDF2,9,Semester 1 Final,0,1,1,1,3,2,8,B,A,A,B,A,B
North High School,65G4JTJI6,9,Semester 1 Final,10,9,10,8,10,9,56,A,A,C,C,A,C
North High School,26WEZ0LS1,9,Semester 1 Final,7,7,6,7,9,3,39,D,C,C,C,D,C
North High School,7Q2EAE0K5,9,Semester 1 Final,8,0,2,3,5,6,24,A,A,B,A,B,B
North High School,OYP077BO5,9,Semester 1 Final,25,11,11,15,19,17,98,A,A,B,B,C,C
North High School,467EQ3FNG,9,Semester 1 Final,28,9,15,13,19,15,99,D,D,C,C,D,D
North High School,WF62G5SJ1,9,Semester 1 Final,7,6,8,9,10,11,51,C,A,A,A,A,B
North High School,R34EUI24E,9,Semester 1 Final,11,11,12,29,11,17,91,C,C,D,F,C,D
North High School,3S92MGS9P,9,Semester 1 Final,13,9,7,11,12,12,64,B,A,A,A,A,A
North High School,ACC0P3X17,9,Semester 1 Final,9,7,11,16,20,22,85,C,A,B,A,C,F
North High School,4FDZ4XR04,9,Semester 1 Final,5,5,5,5,6,8,34,C,B,A,A,B,D
North High School,79A5NP2MQ,9,Semester 1 Final,5,4,4,6,6,5,30,B,C,A,A,B,A
North High School,SC4ZLQ347,9,Semester 1 Final,5,3,1,2,1,2,14,A,B,A,C,A,A
North High School,ZRC6U5M56,9,Semester 1 Final,1,1,0,1,0,2,5,C,C,D,C,A,D
North High School,EJAQ2390A,9,Semester 1 Final,10,4,1,1,2,1,19,D,C,C,F,B,D
North High School,G6NO7D78C,9,Semester 1 Final,3,3,4,3,4,6,23,D,C,D,F,F,C
North High School,3X6BYL17J,9,Semester 1 Final,9,5,6,3,5,12,40,A,A,B,B,A,A
North High School,P1L94DUJ9,9,Semester 1 Final,5,6,6,5,6,5,33,A,A,A,C,A,B
North High School,2NB9VT5Q6,9,Semester 1 Final,52,16,13,6,5,12,104,A,C,C,C,C,C
North High School,W6C0NHP92,9,Semester 1 Final,16,10,11,11,13,11,72,C,B,C,C,D,D
North High School,13KK31ZAZ,9,Semester 1 Final,2,1,1,2,2,2,10,A,A,A,A,B,A
North High School,34LQO0FK2,9,Semester 1 Final,8,45,13,17,10,11,104,F,D,F,F,A,F
North High School,HF420CFJ3,9,Semester 1 Final,49,26,11,20,4,7,117,F,F,D,D,D,B
North High School,JUML1726O,9,Semester 1 Final,35,20,18,16,17,18,124,F,C,D,B,A,C
North High School,LZ6C91R3A,9,Semester 1 Final,22,15,16,19,44,17,133,D,F,F,B,F,D
North High School,87O20ORRI,9,Semester 1 Final,10,4,11,8,33,7,73,D,C,D,D,F,D
North High School,UKTC1A883,9,Semester 1 Final,2,6,0,2,3,3,16,D,D,B,B,A,C
North High School,PYY37X24M,9,Semester 1 Final,78,15,9,61,21,19,203,F,D,D,F,F,C
North High School,62DD27MRL,9,Semester 1 Final,41,31,22,30,29,29,182,F,D,F,C,B,F
North High School,B7W6B0J7J,9,Semester 1 Final,14,17,14,12,0,0,57,,B,B,B,,
North High School,R5C4KKY59,9,Semester 1 Final,57,5,4,4,12,16,98,B,C,B,C,C,D
North High School,JV6YV66C0,9,Semester 1 Final,23,14,11,14,16,22,100,C,B,D,D,C,C
North High School,1LL50WCR0,9,Semester 1 Final,4,1,3,3,11,11,33,D,B,C,F,B,D
North High School,N1DD738EQ,9,Semester 1 Final,16,5,2,2,9,4,38,F,B,C,D,D,A
North High School,R8O0K11KF,9,Semester 1 Final,13,7,8,6,22,8,64,D,C,C,D,D,D
North High School,G45I8MQ7W,9,Semester 1 Final,16,21,13,11,11,16,88,F,D,C,D,D,C
North High School,S60B9T3KA,9,Semester 1 Final,9,11,6,13,12,13,64,D,F,C,F,B,F
North High School,M54L67WFF,9,Semester 1 Final,10,4,2,2,1,1,20,C,D,C,B,C,D
North High School,UNH5C13W4,9,Semester 1 Final,19,11,13,14,8,24,89,A,B,B,C,A,B
North High School,7JR511NYR,9,Semester 1 Final,9,6,7,8,6,8,44,B,A,B,F,F,B
North High School,01RRQMU41,9,Semester 1 Final,4,1,2,7,6,11,31,F,B,D,F,C,F
North High School,O6LHS0T19,9,Semester 1 Final,3,3,4,9,7,7,33,C,B,B,C,B,A
North High School,3CD8X01TH,9,Semester 1 Final,17,18,12,9,10,11,77,F,D,F,F,D,F
North High School,92K1VO5ZR,9,Semester 1 Final,14,6,6,7,10,12,55,F,D,B,F,F,C
North High School,F2K7MV0P8,9,Semester 1 Final,14,13,11,10,12,13,73,A,A,A,A,A,A
North High School,R3L97IRK9,9,Semester 1 Final,5,5,9,10,14,13,56,A,A,A,B,B,B
North High School,55IC3LF0Q,9,Semester 1 Final,22,13,17,16,16,12,96,B,A,B,D,B,A
North High School,6ZS28KHU8,9,Semester 1 Final,51,12,5,15,6,15,104,D,B,C,C,A,A
North High School,4L0PC5RU8,9,Semester 1 Final,38,3,2,4,4,3,54,B,C,C,A,C,B
North High School,1NM57XW2R,9,Semester 1 Final,3,6,11,14,9,8,51,C,D,A,F,C,C
North High School,0MJ2X8YL5,9,Semester 1 Final,10,12,7,12,11,11,63,C,C,A,B,B,A
North High School,Y69TF2J6D,9,Semester 1 Final,7,7,2,10,7,6,39,A,B,B,B,A,B
North High School,Q2P35M5BU,9,Semester 1 Final,10,2,23,11,17,13,76,C,A,B,C,B,D
North High School,20DLRK8E9,9,Semester 1 Final,27,8,10,14,15,15,89,C,B,F,B,D,C
North High School,H9ROI87X6,9,Semester 1 Final,75,17,16,30,24,25,187,C,C,B,C,C,B
North High School,Y3RJ927HO,9,Semester 1 Final,10,5,4,6,5,6,36,B,B,A,A,B,B
North High School,UYUD1681N,9,Semester 1 Final,9,10,12,13,15,15,74,A,D,B,D,D,B
North High School,7XHC52N7Q,9,Semester 1 Final,13,10,13,14,17,17,84,B,D,B,B,B,A
North High School,6L73RNJI8,9,Semester 1 Final,5,5,6,8,4,3,31,D,D,C,B,B,B
North High School,QJQ1MB506,9,Semester 1 Final,7,7,6,6,9,6,41,C,D,D,F,D,B
North High School,03LF8R9LE,9,Semester 1 Final,6,4,4,3,3,4,24,A,A,B,A,A,A
North High School,GQ5SO6E22,9,Semester 1 Final,10,12,16,11,16,16,81,A,A,A,A,A,A
North High School,1Z04F9LIH,9,Semester 1 Final,2,3,5,2,2,3,17,C,B,C,D,D,D
North High School,R7YD5JY09,9,Semester 1 Final,27,2,4,3,6,8,50,C,C,D,C,C,C
North High School,2YVU7MG96,9,Semester 1 Final,17,7,7,6,7,11,55,F,B,B,D,B,B
North High School,LGM69G38C,9,Semester 1 Final,21,13,9,22,20,37,122,A,A,A,A,A,A
North High School,TVF21CN60,9,Semester 1 Final,23,4,5,4,7,7,50,C,D,A,B,A,C
North High School,9492GSGUE,9,Semester 1 Final,31,12,12,11,13,15,94,A,A,C,C,A,A
North High School,7X9LGO5H3,9,Semester 1 Final,16,3,7,5,5,15,51,C,B,B,A,B,B
North High School,1SP2E74VY,9,Semester 1 Final,3,3,4,3,3,3,19,A,A,A,A,A,A
North High School,89R2VN9EV,9,Semester 1 Final,3,2,2,4,1,3,15,A,A,C,B,D,B
North High School,PQ444HON8,9,Semester 1 Final,7,4,5,4,4,4,28,A,A,A,A,B,A
North High School,TR3C94FE3,9,Semester 1 Final,14,14,15,17,17,15,92,B,D,B,C,D,F
North High School,PGU0962SP,9,Semester 1 Final,14,6,12,13,12,11,68,B,C,A,A,C,B
North High School,7451QJNPH,9,Semester 1 Final,64,29,18,16,34,31,192,B,B,A,C,C,B
North High School,26Y5FH7GX,9,Semester 1 Final,12,14,11,11,11,13,72,D,A,A,B,B,A
North High School,Z9Q13AIX4,9,Semester 1 Final,9,9,10,11,18,14,71,,D,C,D,C,D
North High School,R021KXOM8,9,Semester 1 Final,10,7,9,8,6,6,46,D,B,B,B,C,B
North High School,LKHF6J129,9,Semester 1 Final,7,7,6,6,11,9,46,C,C,C,B,B,C
North High School,E4I30IG3X,9,Semester 1 Final,1,1,1,2,3,6,14,A,A,A,A,A,A
North High School,86BCAJ5H4,9,Semester 1 Final,20,10,8,14,14,15,81,C,A,A,B,B,D
North High School,U3XZQ92V5,9,Semester 1 Final,11,5,6,5,6,8,41,B,B,A,A,B,B
North High School,NEDTA5678,9,Semester 1 Final,7,4,4,9,4,6,34,A,C,D,C,C,C
North High School,Q969UJ1EX,9,Semester 1 Final,15,20,16,20,18,18,107,A,B,A,C,C,B
North High School,4YNXL789N,9,Semester 1 Final,12,11,5,9,14,12,63,A,A,B,C,D,D
North High School,0AJDB39Q5,9,Semester 1 Final,14,11,11,10,10,11,67,A,A,A,C,A,A
North High School,5B7O1SB0S,9,Semester 1 Final,61,10,10,16,9,11,117,A,A,A,D,B,C
North High School,F79FJP4N3,9,Semester 1 Final,14,14,13,17,16,17,91,A,A,A,B,A,D
North High School,6GK255NBE,9,Semester 1 Final,3,3,3,5,7,9,30,A,C,B,D,C,D
North High School,RG4U710DS,9,Semester 1 Final,10,9,6,9,9,11,54,D,C,C,B,C,C
North High School,IWL2ZX921,9,Semester 1 Final,2,1,2,3,1,3,12,A,A,A,A,B,B
North High School,5VU1X99RO,9,Semester 1 Final,7,5,3,6,9,7,37,D,B,B,B,C,C
North High School,7L5YM0R5U,9,Semester 1 Final,5,5,3,3,13,15,44,B,B,C,A,A,A
North High School,SRKO519A3,9,Semester 1 Final,8,12,13,13,14,23,83,D,C,C,C,C,D
North High School,3I3YG78IE,9,Semester 1 Final,12,13,13,15,14,11,78,A,C,A,A,A,C
North High School,H458AK3YJ,9,Semester 1 Final,15,7,5,9,15,14,65,C,D,C,D,D,B
North High School,EX7BAE542,9,Semester 1 Final,64,16,15,18,24,23,160,F,B,D,A,C,D
North High School,MD4UG60N0,9,Semester 1 Final,8,8,9,11,11,9,56,A,A,A,A,A,A
North High School,506XX1GYN,9,Semester 1 Final,6,7,10,10,5,4,42,D,F,D,C,F,F
North High School,86A9MIU8D,9,Semester 1 Final,14,13,14,15,17,15,88,D,B,C,D,F,D
North High School,4AG0TT8C4,9,Semester 1 Final,11,1,1,1,1,5,20,C,C,C,F,B,C
North High School,3I821HDPR,9,Semester 1 Final,6,7,8,6,9,6,42,A,A,B,C,B,A
North High School,2H53QKF5X,9,Semester 1 Final,11,10,8,12,23,9,73,D,D,C,C,C,B
North High School,4DQO2U23J,9,Semester 1 Final,39,11,8,11,13,8,90,F,F,F,D,C,C
North High School,5O9G9EPI2,9,Semester 1 Final,22,21,19,21,15,16,114,B,D,F,F,F,D
North High School,A9BIO8N70,9,Semester 1 Final,26,15,12,13,11,12,89,B,A,D,B,C,B
North High School,L39L1Y8ZW,9,Semester 1 Final,5,5,5,7,5,6,33,A,C,D,C,D,C
North High School,O658HFA0E,9,Semester 1 Final,11,11,12,14,17,13,78,B,C,B,C,D,C
North High School,134CUTGP8,9,Semester 1 Final,0,0,1,0,3,0,4,C,F,D,C,D,B
North High School,UY3D75G2H,9,Semester 1 Final,57,18,15,13,15,18,136,D,F,F,B,C,F
North High School,CFT39D81M,9,Semester 1 Final,3,1,2,4,4,6,20,B,B,B,C,A,A
North High School,SXW66R21R,9,Semester 1 Final,2,2,3,5,5,14,31,B,B,C,C,B,B
North High School,1A6V7VQZ7,9,Semester 1 Final,2,2,1,1,0,0,6,D,A,A,C,D,D
North High School,E1IU3F73Q,9,Semester 1 Final,13,4,4,4,4,4,33,C,A,B,C,C,F
North High School,0P2UR5X9P,9,Semester 1 Final,8,12,9,8,17,4,58,,A,A,A,,F
North High School,74U2STIY8,9,Semester 1 Final,26,24,23,17,20,19,129,D,F,D,C,C,D
North High School,1D79PPV9O,9,Semester 1 Final,3,0,2,1,2,2,10,B,A,C,A,D,A
North High School,B2JD4U4Y4,9,Semester 1 Final,50,13,15,6,11,7,102,A,A,C,A,C,C
North High School,69WHP2I1S,9,Semester 1 Final,13,16,7,7,28,8,79,F,C,D,D,C,B
North High School,1V4W9NJ8G,9,Semester 1 Final,3,3,2,5,4,4,21,A,,A,B,A,A
North High School,QC1D407CE,9,Semester 1 Final,4,8,1,3,3,5,24,B,B,A,C,A,A
North High School,BVA5DJ133,9,Semester 1 Final,4,2,1,3,2,4,16,B,F,A,F,B,
North High School,AJG8V751W,9,Semester 2 Final,33,16,24,33,33,28,167,B,A,C,A,A,A
North High School,60GEUZ3Y4,9,Semester 2 Final,18,12,11,12,20,19,92,A,B,B,A,C,B
North High School,53TO4UZR6,9,Semester 2 Final,3,3,4,4,7,8,29,A,A,A,A,A,A
North High School,ZOD9L514K,9,Semester 2 Final,4,4,4,4,7,8,31,A,A,A,A,A,A
North High School,24T03OORQ,9,Semester 2 Final,3,6,2,2,2,2,17,A,B,D,B,B,D
North High School,N57JPML61,9,Semester 2 Final,28,16,20,17,20,20,121,A,A,A,A,A,A
North High School,Z6GN34YH3,9,Semester 2 Final,5,6,6,6,7,8,38,A,B,A,A,A,A
North High School,RK9647YBR,9,Semester 2 Final,24,13,16,12,19,24,108,D,B,C,D,D,D
North High School,0Q186GJZT,9,Semester 2 Final,7,6,13,8,7,11,52,B,A,B,A,B,A
North High School,6TYZH854A,9,Semester 2 Final,4,4,3,5,9,4,29,A,A,A,C,C,A
North High School,H8YJ008NI,9,Semester 2 Final,3,4,10,12,8,12,49,A,B,C,A,C,A
North High School,37S51GTYL,9,Semester 2 Final,15,7,10,6,10,9,57,C,B,B,A,C,A
North High School,9C72GI3LO,9,Semester 2 Final,32,28,10,13,11,16,110,A,C,B,B,B,B
North High School,I106AAUX0,9,Semester 2 Final,6,4,11,3,5,13,42,F,F,F,C,B,D
North High School,6J56Q5AUQ,9,Semester 2 Final,4,5,4,4,6,11,34,A,B,A,A,A,C
North High School,52O8HWA0Y,9,Semester 2 Final,15,5,8,6,6,5,45,B,A,B,A,B,B
North High School,OU980OK1P,9,Semester 2 Final,50,20,18,17,20,10,135,B,A,A,A,A,A
North High School,MLM9W0Q95,9,Semester 2 Final,20,13,12,8,11,13,77,C,D,D,D,,
North High School,BVU3378XU,9,Semester 2 Final,24,5,6,14,14,10,73,D,B,D,D,C,A
North High School,R84U0ZH2Y,9,Semester 2 Final,11,9,11,15,14,12,72,B,A,C,C,C,B
North High School,3116PRBXF,9,Semester 2 Final,12,11,12,10,12,15,72,C,B,B,A,B,A
North High School,Q09YQO4C2,9,Semester 2 Final,4,7,8,16,13,19,67,A,B,A,B,D,C
North High School,TZ4I04IC2,9,Semester 2 Final,5,5,6,5,7,9,37,A,A,A,A,A,A
North High School,4BOM65RK0,9,Semester 2 Final,14,17,19,19,19,21,109,A,C,A,B,A,B
North High School,V7QN3A89F,9,Semester 2 Final,9,10,11,11,10,9,60,A,A,A,B,B,C
North High School,S3FW9C2S8,9,Semester 2 Final,21,16,18,18,20,21,114,C,B,B,B,C,C
North High School,N5H45H0DM,9,Semester 2 Final,4,13,12,14,22,25,90,A,A,B,B,B,A
North High School,3N1SJE90T,9,Semester 2 Final,5,1,3,7,9,10,35,A,B,B,B,A,C
North High School,GI2MK924V,9,Semester 2 Final,7,7,6,7,7,6,40,B,B,C,B,A,C
North High School,N7GSL7L61,9,Semester 2 Final,30,9,12,17,21,19,108,B,A,B,A,A,B
North High School,GD1X2DN35,9,Semester 2 Final,30,26,37,43,44,45,225,C,D,B,,C,C
North High School,CCKP543F2,9,Semester 2 Final,13,9,9,15,17,18,81,C,C,A,B,A,A
North High School,8Q1XCP6P9,9,Semester 2 Final,4,6,3,4,6,6,29,B,C,B,A,D,B
North High School,U08D47WQT,9,Semester 2 Final,5,4,5,7,7,10,38,A,A,A,A,A,B
North High School,JD2Y4IM59,9,Semester 2 Final,13,12,13,13,15,16,82,B,A,A,A,A,A
North High School,WH16B85UO,9,Semester 2 Final,8,2,11,7,5,10,43,A,A,B,A,A,A
North High School,KB1K233TK,9,Semester 2 Final,2,2,3,2,2,2,13,B,B,B,B,C,B
North High School,9PJ81G7NQ,9,Semester 2 Final,14,8,8,11,11,15,67,C,F,D,D,C,D
North High School,7AQ8DK4L4,9,Semester 2 Final,52,21,26,23,31,21,174,B,A,A,A,B,A
North High School,R0607JJFR,9,Semester 2 Final,6,3,5,6,11,10,41,A,A,A,A,A,A
North High School,977N9KQLY,9,Semester 2 Final,24,23,22,27,31,38,165,D,B,D,A,C,D
North High School,27L8W0NVS,9,Semester 2 Final,8,7,5,5,6,5,36,B,A,C,C,C,B
North High School,C10N0KH4Y,9,Semester 2 Final,12,12,12,12,12,0,60,A,A,A,A,A,
North High School,YWX907K3I,9,Semester 2 Final,14,13,13,10,10,10,70,B,A,A,B,A,A
North High School,T0F6Y3Y7B,9,Semester 2 Final,27,7,17,12,14,19,96,B,A,B,A,B,C
North High School,X7BM8CS50,9,Semester 2 Final,35,24,22,19,12,20,132,C,C,C,,,
North High School,8O90WHS0U,9,Semester 2 Final,75,22,9,10,13,20,149,B,C,B,B,B,A
North High School,6SILB250W,9,Semester 2 Final,18,15,15,14,16,18,96,C,F,F,D,F,F
North High School,FKQ9313MG,9,Semester 2 Final,2,2,2,3,3,3,15,A,A,A,A,A,A
North High School,07O0RZQ5R,9,Semester 2 Final,6,7,3,6,6,9,37,A,C,A,B,B,C
North High School,RS3D4NU18,9,Semester 2 Final,58,26,17,22,25,24,172,D,F,,C,D,D
North High School,MD6CK5Y26,9,Semester 2 Final,11,11,8,9,9,8,56,B,A,,C,C,C
North High School,50K55OAYM,9,Semester 2 Final,23,17,10,13,19,20,102,B,A,C,B,A,B
North High School,LR340NWK2,9,Semester 2 Final,6,5,5,5,12,7,40,C,C,C,B,D,D
North High School,X9H5QR97F,9,Semester 2 Final,11,12,12,12,17,20,84,B,B,C,A,A,A
North High School,O2F29Y8KQ,9,Semester 2 Final,46,19,16,16,18,17,132,F,C,D,D,C,B
North High School,S1QAG350Z,9,Semester 2 Final,84,13,17,13,12,12,151,C,A,D,B,C,
North High School,8W2E7HAO0,9,Semester 2 Final,1,1,2,2,1,3,10,A,A,A,A,A,A
North High School,6ITUR172Q,9,Semester 2 Final,90,27,27,29,32,32,237,D,B,C,B,D,F
North High School,9BT6VM3C6,9,Semester 2 Final,3,4,4,2,2,2,17,A,A,C,A,C,A
North High School,I2X4T4XM9,9,Semester 2 Final,8,14,10,9,13,16,70,A,A,A,A,A,A
North High School,P154W7CIG,9,Semester 2 Final,10,11,11,14,17,16,79,A,C,C,A,B,B
North High School,9C1NT2S8V,9,Semester 2 Final,28,5,2,4,10,3,52,C,C,C,B,A,B
North High School,L4SU78V4U,9,Semester 2 Final,2,3,1,4,3,4,17,B,D,D,F,D,D
North High School,FL7UAG692,9,Semester 2 Final,11,12,7,20,21,12,83,B,C,A,C,D,C
North High School,GA05PH92Z,9,Semester 2 Final,2,6,7,7,9,9,40,D,B,B,A,C,B
North High School,42A0HO9EJ,9,Semester 2 Final,10,7,7,5,7,8,44,C,C,D,B,A,D
North High School,P31KMKT95,9,Semester 2 Final,7,7,9,11,13,12,59,A,A,A,A,A,A
North High School,F8TYS67V7,9,Semester 2 Final,8,6,6,7,9,7,43,A,B,C,B,B,D
North High School,EN1O9YM20,9,Semester 2 Final,9,7,8,11,16,20,71,A,A,A,A,A,B
North High School,88PSH0K3N,9,Semester 2 Final,87,27,19,50,21,10,214,C,B,D,F,D,C
North High School,9GBR9RV27,9,Semester 2 Final,2,3,3,3,2,2,15,B,B,D,B,C,A
North High School,CUN7DL238,9,Semester 2 Final,11,9,10,12,8,11,61,A,D,F,C,F,C
North High School,26M2BZ2SJ,9,Semester 2 Final,7,4,6,6,9,12,44,A,A,A,B,,B
